suite_id,task_id,model,suite_split,lift_type,feature_family,evidence_eligibility,functional_pass,first_failure_stage,audit_failure_class,root_cause_primary,secondary_tags,contract_clause_ids,context_violation,review_status,annotator,adjudicated,evidence_summary,evidence_path,validity_reason
python200-hard-main-20260829,click__lazy_command_core__hard3_001,deepseek/deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_api,,False,assistant_first_pass,codex_assistant,False,首败来自未在公开契约中出现的 invoke 方法,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/click__lazy_command_core__hard3_001/eval/logs/public.stdout,运行时 TASK 只声明 get_command 和 resolve 而 evaluator 调用 invoke
python200-hard-main-20260829,hatch__project_metadata_core__hard3_001,deepseek/deepseek-v4-flash,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_normalization_rule,,True,assistant_first_pass,codex_assistant,False,提交满足字面小写要求但测试增加了未公开的 separator canonicalization,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/hatch__project_metadata_core__hard3_001/eval/logs/public.stdout,TASK 只要求 lowercases names 而 evaluator 额外要求空格转连字符
python200-hard-main-20260829,hydra_core__compose_initialize_core__001,deepseek/deepseek-v4-flash,hard50,Composite,registry_plugin_dispatch,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,test_harness_state,B001;B002;B004,True,assistant_first_pass,codex_assistant,False,失败发生在 public test 准备阶段且尚未调用提交实现,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/hydra_core__compose_initialize_core__001/eval/logs/public.stdout,旧 public test 在调用提交前创建固定目录并因残留目录失败；当前冻结题已改为只读 fixture
python200-hard-main-20260829,parsel__selector_namespace_core__hard3_001,deepseek/deepseek-v4-flash,python150,Adapted,parse_tokenize_decode,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_api;post_run_task_fixed,,True,assistant_first_pass,codex_assistant,False,当前 TASK 已在实验后补入 get/getall,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/parsel__selector_namespace_core__hard3_001/eval/logs/public.stdout,运行时 TASK 未声明 Selector.get/getall 而 evaluator 调用 get
python200-hard-main-20260829,paste__dispatch_map_core__001,deepseek/deepseek-v4-flash,hard50,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_response_body,,False,assistant_first_pass,codex_assistant,False,提交已经返回 404 状态但测试增加了未公开的正文格式要求,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/paste__dispatch_map_core__001/eval/logs/public.stdout,TASK 只要求 HTTP 404 status 而 evaluator 要求正文含字面量 404
python200-hard-main-20260829,pluggy__hook_wrapper_core__hard3_001,deepseek/deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_api,,False,assistant_first_pass,codex_assistant,False,首败直接调用未公开的 call_historic,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout,运行时 TASK 未声明 call_historic 及其签名
python200-hard-main-20260829,pytest__ini_markers_core__001,deepseek/deepseek-v4-flash,python150,Composite,config_resolve_discover,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_api;post_run_task_fixed,,False,assistant_first_pass,codex_assistant,False,当前 TASK 已在实验后补入 from_lines,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pytest__ini_markers_core__001/eval/logs/public.stdout,运行时 TASK 未声明 from_lines 而 evaluator 调用该方法
python200-hard-main-20260829,readme_renderer__content_type_core__hard3_001,deepseek/deepseek-v4-flash,python150,Adapted,serialize_format_render,benchmark_invalid_candidate,False,public_failure,public_behavior,task_or_evaluator_defect,undeclared_output_marker,,False,assistant_first_pass,codex_assistant,False,标题已经渲染为 h1 但测试使用与公开行为不对应的字面标记,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/readme_renderer__content_type_core__hard3_001/eval/logs/public.stdout,TASK 只要求选择 Markdown renderer 而 evaluator 要求输出含 markdown 字样
python200-hard-main-20260829,authlib__oauth2_server_core__001,deepseek/deepseek-v4-flash,hard50,Adapted,workflow_session_orchestration,infrastructure_invalid,False,build_failure,dependency_install_infrastructure,infrastructure,dependency_install_infrastructure,,False,automatic,rule_based,False,"dependency install failed: ERROR: Could not find a version that satisfies the requirement cffi==2.1.1 (from versions: 1.17.1)
ERROR: No matching distribution found for cffi==2.1.1",experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/authlib__oauth2_server_core__001/eval/logs/dependency_install.stderr,"dependency install failed: ERROR: Could not find a version that satisfies the requirement cffi==2.1.1 (from versions: 1.17.1)
ERROR: No matching distribution found for cffi==2.1.1"
python200-hard-main-20260829,betamax__cassette_match_core__001,deepseek/deepseek-v4-flash,hard50,Direct,resource_metadata_loading,infrastructure_invalid,False,build_failure,dependency_install_infrastructure,infrastructure,dependency_install_infrastructure,,False,automatic,rule_based,False,"dependency install failed: ERROR: Could not find a version that satisfies the requirement charset-normalizer==3.5.1 (from versions: 3.4.7)
ERROR: No matching distribution found for charset-normalizer==3.5.1",experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/betamax__cassette_match_core__001/eval/logs/dependency_install.stderr,"dependency install failed: ERROR: Could not find a version that satisfies the requirement charset-normalizer==3.5.1 (from versions: 3.4.7)
ERROR: No matching distribution found for charset-normalizer==3.5.1"
